TÍTULO,VINÍCULA,NOME DO PROVADOR,PONTOS,PREÇO,PAÍS
Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley),Sweet Cheeks,Paul Gregutt,87,65.0,US
Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley),Kirkland Signature,Virginie Boone,87,19.0,US
Bianchi 2011 Signature Selection Merlot (Paso Robles),Bianchi,Matt Kettmann,87,22.0,US
Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast),Castello di Amorosa,Virginie Boone,87,69.0,US
Erath 2010 Hyland Pinot Noir (McMinnville),Erath,Paul Gregutt,86,50.0,US
Okapi 2013 Estate Cabernet Sauvignon (Napa Valley),Okapi,Virginie Boone,86,100.0,US
Ram 2014 Alder Ridge Vineyard Cabernet Franc (Columbia Valley (WA)),Ram,Sean P. Sullivan,86,25.0,US
Sevtap 2015 Golden Horn Sauvignon Blanc (Santa Ynez Valley),Sevtap,Matt Kettmann,86,26.0,US
Basel Cellars 2013 Inspired Red (Columbia Valley (WA)),Basel Cellars,Sean P. Sullivan,86,46.0,US
Eco Terreno 2013 Old Vine Cabernet Sauvignon (Alexander Valley),Eco Terreno,Virginie Boone,86,40.0,US
Hindsight 2013 Bella Vetta Vineyard Cabernet Sauvignon (Howell Mountain),Hindsight,Virginie Boone,86,75.0,US
Hindsight 2012 Estate Grown Petite Sirah (Calistoga),Hindsight,Virginie Boone,86,55.0,US
Mulvane Wine Co. 2013 The Cypher Red (Napa Valley),Mulvane Wine Co.,Virginie Boone,86,75.0,US
Z'IVO 2015 Rosé of Pinot Noir (Eola-Amity Hills),Z'IVO,Paul Gregutt,86,25.0,US
Napa Cellars 2014 Classic Zinfandel (Napa Valley),Napa Cellars,Virginie Boone,86,24.0,US
Passaggio 2014 Blau Vineyards Merlot (Knights Valley),Passaggio,Virginie Boone,86,55.0,US
Ferrari-Carano 2014 Siena Red (Sonoma County),Ferrari-Carano,Virginie Boone,88,23.0,US
Franciscan 2013 Magnificat Meritage (Napa Valley),Franciscan,Virginie Boone,88,55.0,US
Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier (Columbia Valley (WA)),Gård,Sean P. Sullivan,88,22.0,US
Soquel Vineyards 2013 Intreccio Library Selection Red (Napa Valley),Soquel Vineyards,Virginie Boone,88,75.0,US
Martin Ranch 2014 J.D. Hurley Zinfandel (Santa Clara Valley),Martin Ranch,Matt Kettmann,87,26.0,US
Piña 2013 Wolff Vineyard Cabernet Sauvignon (Yountville),Piña,Virginie Boone,87,85.0,US
Pull 2012 BDX Red (Paso Robles),Pull,Matt Kettmann,87,18.0,US
R2 2013 Camp 4 Vineyard Grenache Blanc (Santa Ynez Valley),R2,Matt Kettmann,87,25.0,US
Terra Valentine 2013 K Block Cabernet Sauvignon (Spring Mountain District),Terra Valentine,Virginie Boone,91,85.0,US
Testarossa 2013 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Testarossa,Matt Kettmann,91,64.0,US
Vincent Vineyards 2010 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Vincent Vineyards,Matt Kettmann,91,68.0,US
Vincent Vineyards 2012 Family Reserve Cabernet Sauvignon (Santa Ynez Valley),Vincent Vineyards,Matt Kettmann,91,68.0,US
Wrath 2013 Destruction Level Red (Monterey),Wrath,Matt Kettmann,91,35.0,US
Yardstick 2013 Ruth's Reach Cabernet Sauvignon (Napa Valley),Yardstick,Virginie Boone,91,25.0,US
Albatross Ridge 2012 Estate Reserve Pinot Noir (Carmel Valley),Albatross Ridge,Matt Kettmann,91,55.0,US
Alta Colina 2012 Old 900 Syrah (Paso Robles),Alta Colina,Matt Kettmann,91,46.0,US
Chronic Cellars 2013 Mr. Nibbles Red (Paso Robles),Chronic Cellars,Matt Kettmann,91,35.0,US
Claiborne & Churchill 2014 Claiborne Vineyard Riesling (Edna Valley),Claiborne & Churchill,Matt Kettmann,91,28.0,US
Duckhorn 2012 Rector Creek Vineyard Merlot (Napa Valley),Duckhorn,Virginie Boone,91,95.0,US
Dutton-Goldfield 2014 Dutton Ranch Pinot Noir (Russian River Valley),Dutton-Goldfield,Virginie Boone,91,44.0,US
Sequum 2013 Four Soil Mélange Cabernet Sauvignon (Napa Valley),Sequum,Virginie Boone,90,60.0,US
Sierra Starr 2014 Rising Starr Estate Bottled Cabernet Franc (Nevada County),Sierra Starr,Jim Gordon,90,28.0,US
J. Lohr 2014 Gesture G-S-M (Paso Robles),J. Lohr,Matt Kettmann,90,30.0,US
J. Lohr 2015 October Night Chardonnay (Arroyo Seco),J. Lohr,Matt Kettmann,90,25.0,US
Del Carlo Winery 2014 Home Ranch Teldeschi Vineyards Century Old Vine Zinfandel (Dry Creek Valley),Del Carlo Winery,Virginie Boone,90,32.0,US
MCV 2014 1105 Red (Paso Robles),MCV,Matt Kettmann,90,48.0,US
Mounts 2014 Verah Red (Dry Creek Valley),Mounts,Virginie Boone,90,36.0,US
Silvan Ridge 2006 Reserve Pinot Noir (Willamette Valley),Silvan Ridge,Paul Gregutt,85,28.0,US
Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Amity,Paul Gregutt,85,45.0,US
Cherry Hill 2006 Papillon Estate Pinot Noir (Willamette Valley),Cherry Hill,Paul Gregutt,85,22.0,US
Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Willamette Valley Vineyards,Paul Gregutt,89,40.0,US
Beaver Creek 2008 Fairytale Red (Napa Valley),Beaver Creek,Virginie Boone,89,39.0,US
J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),J. Christopher,Paul Gregutt,92,52.0,US
Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),Buried Cane,Paul Gregutt,87,14.0,US
Pezzi King 2013 Serracino Reserve Zinfandel (Dry Creek Valley),Pezzi King,Virginie Boone,82,48.0,US
Rochioli 2014 South River Chardonnay (Russian River Valley),Rochioli,Virginie Boone,96,68.0,US
Rochioli 2014 Sweetwater Chardonnay (Russian River Valley),Rochioli,Virginie Boone,96,68.0,US
J. Davies 2012 Jamie Cabernet Sauvignon (Diamond Mountain District),J. Davies,Virginie Boone,95,200.0,US
Winderlea 2014 Weber Vineyard Pinot Noir (Dundee Hills),Winderlea,Paul Gregutt,95,48.0,US
Kynsi 1999 Paragon Vineyard Pinot Noir (Edna Valley),Kynsi,Roger Voss,88,25.0,US
McGregor 2007 Dry Gewürztraminer (Finger Lakes),McGregor,Susan Kostrzewa,85,20.0,US
Guardian 2013 Confidential Source Merlot (Columbia Valley (WA)),Guardian,Sean P. Sullivan,89,30.0,US
Kerloo 2015 Blue Mountain Vineyard Grenache Blanc (Walla Walla Valley (WA)),Kerloo,Sean P. Sullivan,89,20.0,US
Las Positas 2014 Verdigris White (California),Las Positas,Jim Gordon,89,30.0,US
Milbrandt 2013 The Estates Clifton Hill Vineyard Syrah (Wahluke Slope),Milbrandt,Sean P. Sullivan,89,42.0,US
Ojai 2014 McGinley Vineyard Sauvignon Blanc (Santa Ynez Valley),Ojai,Matt Kettmann,89,30.0,US
ONX 2015 Indie Tempranillo (Templeton Gap District),ONX,Matt Kettmann,89,24.0,US
Pomum 2014 Upland Vineyard Riesling (Snipes Mountain),Pomum,Sean P. Sullivan,89,16.0,US
Prospect 772 2014 Stepping Stones Grenache Blanc (Santa Barbara County),Prospect 772,Jim Gordon,89,27.0,US
Trione 2012 Henry's Blend Red (Alexander Valley),Trione,Virginie Boone,89,54.0,US
Dunbar 2012 Estate Grown Zinfandel (Sonoma Valley),Dunbar,Virginie Boone,88,32.0,US
Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Chehalem,Paul Gregutt,92,50.0,US
Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),Chehalem,Paul Gregutt,92,29.0,US
Domaine Serene 2010 Evenstad Reserve Pinot Noir (Willamette Valley),Domaine Serene,Paul Gregutt,92,65.0,US
Sparkman 2009 Stella Mae Red (Red Mountain),Sparkman,Paul Gregutt,87,45.0,US
Lava Cap 2010 Battonage Chardonnay (El Dorado),Lava Cap,Virginie Boone,87,18.0,US
MICA Cellars 2009 Babcock Vineyard Cabernet Franc (Suisun Valley),MICA Cellars,Virginie Boone,87,30.0,US
Fenestra 2010 Silvaspoons Vineyard Verdelho (Lodi),Fenestra,Virginie Boone,87,15.0,US
Camaraderie 2009 Clifton Vineyard Syrah (Wahluke Slope),Camaraderie,Paul Gregutt,87,28.0,US
Beringer 2014 Quantum Red (Napa Valley),Beringer,Virginie Boone,91,65.0,US
Big Basin 2014 Coastview Vineyard Chardonnay (Monterey County),Big Basin,Matt Kettmann,91,48.0,US
